01_prenom,02_genre,03_langage,04_fréquence
'abbas,male,arabic,0
'abla,female,arabic,0
'aisha,female,arabic,0
'aziz,male,arabic,0
'isam,male,arabic,0
'ismat,both,arabic,0
aaliyah,female,english (modern),0
aapeli,male,finnish,0
aapo,male,finnish,0
aaren,both,english,0
aarne,male,finnish,0
aaron,male,"english, biblical",1.37
aarón,male,spanish,0
aatami,male,finnish,0
aatto,male,finnish,0
aatu,male,finnish,0
abaddon,male,biblical,0
abbán,male,irish,0
abbey,female,english,0.06
abbie,female,english,0
abby,female,english,0
abd-al-aziz,male,arabic,0
abd-al-malik,male,arabic,0
abd-al-qadir,male,arabic,0
abd-al-rahman,male,arabic,0
abd-allah,male,arabic,0
abdul,male,arabic,0.29
abdul-aziz,male,arabic,0
abdul-rahman,male,arabic,0
abdullah,male,arabic,0.13
abe,male,"english, jewish",0.03
abednego,male,biblical,0
abegail,female,spanish,0
abel,male,"english, french, spanish, biblical",5.38
ábel,male,hungarian,0
abelone,female,danish,0
abena,female,african,0
abeni,female,african,0
abhay,male,indian,0
abiah,both,biblical,0
abidan,male,biblical,0
abidemi,male,african,0
abiel,male,biblical,0
abigail,female,"english, german, biblical",0.06
abigayle,female,english (modern),0
abihu,male,biblical,0
abijah,both,biblical,0
abilene,female,biblical,0
abimael,male,biblical,0
abiram,male,biblical,0
abisai,male,biblical (variant),0
abishag,female,biblical,0.03
abishai,male,biblical,0
abital,female,biblical,0
abner,male,"english, biblical",0
abraham,male,"english, jewish, biblical",3.15
abram,male,biblical,0.03
absalom,male,"english, biblical",0.03
absolon,male,french,0
acacia,female,english,2.07
acacius,male,ancient greek (latinized),0
acantha,female,greek mythology (latinized),0
ace,male,english,0.03
achaicus,male,"biblical, ancient greek (latinized)",0
achan,male,biblical,0
achieng,female,african,0
achille,male,"french, italian",8.63
achilles,male,greek mythology (latinized),0
achim,male,german,0.03
acke,male,swedish,0
ada,female,english,0.13
adah,female,biblical,0
adair,male,,0.03
adalbert,male,"ancient germanic, german",0.06
adalberto,male,"italian, spanish, portuguese",0
adalheid,female,german,0
adalia,male,biblical,0
adam,male,"english, french, german, polish, russian, romanian, biblical",25.45
ádám,male,hungarian,0
adamina,female,english,0
adamo,male,italian,0
adán,male,spanish,0
adão,male,portuguese,0
adara,female,,0
addie,female,english,0
addison,both,english,0.64
addy,female,english,0
adel,male,arabic,0
adela,female,english,0
adelaide,female,english,0
adélaïde,female,french,15.48
adèle,female,french,25.33
adelheid,female,"german, dutch",0
adelia,female,english,0
adelina,female,"italian, portuguese, spanish",0.67
adeline,female,"french, english",1.27
adelle,female,english,0
adelmar,male,german,0
adem,male,turkish,0
aden,male,,0.54
adena,female,,0
adhara,female,astronomy,0
adhiambo,female,african,0
adi,female,jewish,0
adil,male,arabic,0
adina,both,biblical,0
adino,male,biblical,0
adisa,male,african,0
aditya,male,indian,0
adjoa,female,african,0
adlai,male,biblical,0
adolf,male,german,2.42
adolfo,male,"italian, spanish",0
adolph,male,english,0.06
adolphe,male,french,1.72
adolphus,male,history,0
adonai,male,theology,0
adonia,female,,0
adonijah,male,biblical,0
adonis,male,greek mythology,0.67
adora,female,spanish,0.03
adorinda,female,esperanto,0
adorján,male,hungarian,0
adrasteia,female,greek mythology,0
adrastos,male,greek mythology,0
adria,female,english,0
adriaan,male,dutch,0
adrian,male,"english, romanian, russian",0.45
adrián,male,spanish,0
adriana,female,"italian, spanish, portuguese, romanian, english",0.06
adrianna,female,english,0
adrianne,female,english,0
adriano,male,italian,0.03
adrien,male,french,6.31
adrienn,female,hungarian,0
adrienne,female,french,2.01
adwoa,female,african,0
æðelbert,male,anglo-saxon,0
æðelfrid,male,anglo-saxon,0
æðelmær,male,anglo-saxon,0
æðelred,male,anglo-saxon,0
æðelstan,male,anglo-saxon,0
æðelþryð,female,anglo-saxon,0
aegle,female,greek mythology (latinized),0
ælfwine,male,anglo-saxon,0
aella,female,greek mythology,0
ælred,male,anglo-saxon,0
aemilia,female,ancient roman,0
aeneas,male,roman mythology,0.13
aengus,male,irish,0
aeolus,male,greek mythology (latinized),0
aeron (1),both,welsh,0
aeron (2),both,welsh mythology,0
aeronwen,female,welsh,0
aeronwy,female,welsh,0
æsc,male,anglo-saxon,0
aeschylus,male,ancient greek (latinized),0
aeson,male,greek mythology (latinized),0
aesop,male,ancient greek (anglicized),0
afanasi,male,russian,0
afanasy,male,russian,0
afanen,female,welsh,0
afia,female,african,0
afolabi,male,african,0
afon,both,welsh,0
afonso,male,portuguese,0
afra,female,,0
africa,female,english,0.13
afua,female,african,0
agafya,female,russian,0
agamemnon,male,greek mythology,0.86
agape,female,"greek, ancient greek",0.06
agapios,male,"greek, ancient greek",0
agata,female,"italian, spanish, polish, czech, slovene, russian",0.03
agatha,female,english,0.19
agathangelos,female,ancient greek,0
agathe,female,"french, german, greek, ancient greek",20.01
agathon,male,ancient greek,0.06
agaue,female,greek mythology,0
aggie,female,english,0
aghavni,female,armenian,0
ági,female,hungarian,0
aglaia,female,"greek mythology, greek",0
aglaya,female,russian,0
aglea,female,,0
agnes,female,"english, german, dutch, scandinavian",0.03
agnès,female,french,3.95
ágnes,female,hungarian,0
agnese,female,"italian, latvian",0.32
agnessa,female,russian,0
agneta,female,swedish,0
agnethe,female,german,0
agnieszka,female,polish,0
agostina,female,italian,0
agostinho,male,portuguese,0.16
agostino,male,italian,0.45
ágoston,male,hungarian,0
ágota,female,hungarian,0
agrafena,female,russian,0
agrippa,male,"ancient roman, biblical",1.85
agrippina,female,ancient roman,0
agrona,female,celtic mythology,0
águeda,female,spanish,0
agustín,male,spanish,0
ah,both,chinese,180.28
ahab,male,biblical,0
aharon,male,jewish,0
ahmad,male,arabic,0.03
ahmed,male,arabic,2.71
ahmet,male,turkish,0
ahriman,male,near eastern mythology,0
ahtahkakoop,male,native american,0
ahura mazda,male,near eastern mythology,0
ahuva,female,jewish,0
ai (1),female,japanese,0
ai (2),female,chinese,0
aias,male,greek mythology,0
aida,female,english,3.95
aidan,both,"irish, scottish",0
aiden,male,,0
aignéis,female,irish,0
aikaterine,female,greek,0
ailbhe,both,irish,0
aileas,female,scottish,0
aileen,female,"scottish, english",0
ailill,male,"irish, irish mythology",0
ailín,male,irish,0
ailís,female,irish,0
ailpein,male,scottish,0
ailsa,female,scottish,0
aimé,male,french,50.02
aimée,female,french,14.85
aimo,male,finnish,0
aina,female,spanish,0
aindrea,male,scottish,0
aindréas,male,irish,0
aindriú,male,irish,0
áine,female,irish,0
aingeal,female,irish,0
aino,female,finnish,0
ainsley,both,"english, scottish",0
ainslie,both,"english, scottish",0
aintzane,female,basque,0
aiolos,male,greek mythology,0
aislin,female,"irish, english",0
aisling,female,irish,0
aislinn,female,irish,0
aithne,female,irish,0
aitor,male,basque,0
ajax,male,greek mythology (latinized),0.38
ajeet,male,indian,0
ajit,male,indian,0
ajith,male,indian,0
akakios,male,"greek, ancient greek",0
akamu,male,hawaiian,0
akanksha,female,indian,0
akeem,male,arabic,0
akemi,female,japanese,0
akhil,male,indian,0
aki,both,japanese,0.10
akiko,female,japanese,0
akilah,female,arabic,0
akilina,female,russian,0
akim,male,russian,0.06
akinyi,female,african,0
akio,male,japanese,0
akira,male,japanese,0
akiva,male,jewish,0
akoni,male,hawaiian,0
akosua,female,african,0
aksel,male,"danish, norwegian",0
aksinya,female,russian,0
aku,male,finnish,0
akua,female,african,0
akulina,female,russian,0
al,male,english,6.88
alaba,female,african,0
alain,male,french,20.36
alaina,female,english,0
alan,male,"english, scottish",0.32
alana,female,english,0
alanis,female,english,0
alanna,female,english,0
alannah,female,english,0
alannis,female,english,0
alaois,male,irish,0
alaric,male,history,0.41
alasdair,male,scottish,0
alastair,male,scottish,0
alastar,male,irish,0
alastríona,female,irish,0
alayna,female,english,0
alba,female,"italian, spanish",0.25
alban,male,"english, german",0.70
alberic,male,english,0
albert,male,"english, french",27.88
alberta,female,"english, italian",0.22
albertina,female,"italian, german, portuguese, english",0.06
albertine,female,french,4.08
alberto,male,"italian, spanish, portuguese",1.34
albina,female,italian,0
albrecht,male,german,0.16
alby,male,irish,14.97
alcaeus,male,ancient greek (latinized),0
alcippe,female,greek mythology (latinized),0
alcyone,female,greek mythology (latinized),0
alden,male,english,0.03
aldo,male,italian,4.59
aldous,male,english,0.22
aldrick,male,,0
alea,female,english (modern),1.31
alease,female,english,0
alec,male,english,0.03
alechjo,male,esperanto,0
aled,male,welsh,0
aleesha,female,english (modern),0
aleit,female,german,0
alejandra,female,spanish,0
alejandro,male,spanish,0
alejo,male,spanish,0
aleksandar,male,"bulgarian, macedonian, croatian, serbian",0
aleksander,male,"polish, slovene, albanian",0
aleksandr,male,russian,0
aleksandra,female,"russian, polish, serbian, bulgarian, slovene",0
aleksandrina,female,"serbian, croatian, russian",0
aleksandro,male,esperanto,0
aleksanteri,male,finnish,0
aleksei,male,russian,0
aleksi,male,finnish,0
alene,female,english,0
alenka,female,slovene,0
ales,male,czech,0
alesha,female,english (modern),0
alessa,female,italian,0
alessandra,female,italian,0
alessandro,male,italian,1.21
alessia,female,italian,0
alessio,male,italian,0
aleta,female,english,0
aletha,female,english,0
alethea,female,english,0
alex,both,english,3.03
alexa,female,english,0
alexander,male,"english, german, dutch",2.10
alexandr,male,czech,0
alexandra,female,"german, scandinavian, dutch, english, greek, portuguese, romanian, czech, hungarian, ancient greek",2.26
alexandre,male,"french, portuguese, hungarian",18.00
alexandrea,female,english,0
alexandria,female,english,0
alexandrie,female,french,5.54
alexandrina,female,english,0
alexandros,male,"greek, ancient greek",0.10
alexandru,male,romanian,0
alexei,male,russian,0
alexej,male,czech,0
alexia,female,"english, german",0
alexina,female,english,0
alexis (1),male,"german, french, english, ancient greek",0
alexis (2),female,english,0
alexius,male,ancient greek (latinized),0
alexus,female,english,0
alf,male,english,0.03
alfeo,male,italian,0
alfhild,female,"norwegian, swedish",0
alfons,male,german,0.03
alfonsina,female,italian,0
alfonso,male,"spanish, italian",0.25
alfred,male,"english, french",5.48
alfréd,male,hungarian,0
alfreda,female,"english, polish, german, italian",0
alfredo,male,"italian, spanish, portuguese",0.41
alfsigr,female,ancient scandinavian,0
algar,male,english,0
alger,male,english,22.65
algernon,male,english,0.03
ali,male,arabic,8.44
alia,female,arabic,0.10
aliah,female,,0
alice,female,"english, french",10.07
alicia,female,"spanish, english",0.35
alida,female,hungarian,0.48
aliisa,female,finnish,0
alin,male,romanian,0.06
alina (1),female,arabic,0
alina (2),female,"german, polish",0
aline,female,"french, english",0.61
alis,female,welsh,0.10
alisa,female,english,0.10
alisha,female,english,0
alisia,female,english,0
alison,both,"english, french",0.03
alissa,female,english,0.48
alistair,male,scottish,0.03
alister,male,scottish,0
alisya,female,english (modern),0
alix,both,english,5.80
aliyah,female,jewish,0
aliz,female,hungarian,0
aliza,female,jewish,0
allan,male,"english, scottish",0.35
allannah,female,english,0
allegra,female,"english, italian",0
allegria,female,english,0.03
allen,male,"english, scottish",0.83
allie,female,english,1.05
allison,female,english,0.19
allon,male,biblical,0.03
ally,female,english,0
allycia,female,english (modern),0
allyn,male,english,0
allyson,female,english,0
alma,female,english,0.96
almas,female,"arabic, iranian",0
almira,female,english,0
almudena,female,spanish,0
alodia,female,,0
alois,male,"german, czech",0
aloisia,female,german,0
aloisio,male,portuguese,0
alojz,male,slovene,0
alon,male,jewish,0
alondra,female,spanish,0
alonso,male,spanish,6.08
alonzo,male,italian,0.10
aloysius,male,"english, german, dutch",2.17
alp,male,turkish,0
alpertti,male,finnish,0
alpha,both,english,1.85
alphaeus,male,biblical,0
alphonse,male,french,8.16
alphonsine,female,french,0.10
alphonso,male,italian,0
alphonsus,male,,0
alphonzo,male,english,0
alpin,male,scottish,1.12
alta,female,,0.16
altan,male,turkish,1.56
alte,female,jewish,0
alter,male,jewish,0.54
althea,female,greek mythology (latinized),0.03
alton,male,english,0.03
aludra,female,astronomy,0
alun,male,welsh,0.86
alva,male,,0.06
alvah,male,biblical,0
alvar,male,english,0.03
álvaro,male,"spanish, portuguese",0
alvena,female,english,0
alvilda,female,danish,0
alvin,male,english,0.10
alvina,female,english,0
alvis,male,norse mythology,0
alwilda,female,english,0
alwyn,male,english,0
alya,female,arabic,0
alyce,female,english (modern),0
alyona,female,russian,0
alys,female,english (modern),0
alysha,female,english (modern),0
alyson,female,english,0
alyssa,female,english,0
alyssia,female,english,0
alyusha,male,russian,0
alyx,female,english,0
alzbeta,female,"czech, slovak",0
ama,female,african,0.13
amabel,female,english,0
amada,female,spanish,0.03
amadeo,male,italian,0.35
amadeus,male,late roman,0.10
amadi (1),female,african,0
amadi (2),male,african,0
amal (1),both,arabic,0
amal (2),male,biblical,0
amala,female,indian,0
amalia,female,"german, english",0.03
amália,female,hungarian,0
amalric,male,ancient germanic,0
amalthea,female,greek mythology,0
amanda,female,english,0.25
amandine,female,english,0.48
amando,male,spanish,0
amani,female,arabic,0
amar,male,indian,1.56
amara,female,,0.03
amaranta,female,english,0
amarante,female,"french, ancient greek",0.76
amardad,male,,0
amariah,male,biblical,0
amaryllis,female,english,0.96
amaterasu,female,far eastern mythology,0.06
amato,male,italian,0
amaury,male,french,6.75
amaya,female,japanese,0
amber,female,english,0.13
ambra,female,italian,0
ambre,female,french,3.76
ambrogino,male,italian,0
ambrogio,male,italian,0.03
ambroise,male,french,1.59
ambrose,male,english,0.10
ambrosia,female,ancient greek,0
ambrosine,female,english,0
ambrosio,male,"spanish, portuguese",0
ambrus,male,hungarian,0
amedea,female,italian,0
amédée,male,french,1.72
amedeo,male,italian,0.10
amedeus,male,english,0
amelia,female,english,0
amélia,female,portuguese,0.06
amélie,female,french,1.59
amen,male,egyptian mythology,1.88
amenhotep,male,ancient egyptian,0
america,female,english,0.54
americo,male,"spanish, portuguese",0
amerigo,male,italian,0.13
amethyst,female,english,0
amhlaidh,male,scottish,0
amhlaoibh,male,irish,0
ami,female,english (modern),93.44
amias,male,english,0
amice,female,english,0.06
amie,female,english,33.13
amika,female,esperanto,0
amilcar,male,"portuguese, spanish",0.10
amilia,female,english,0
amin,male,arabic,0.10
amina,female,arabic,0
aminda,female,esperanto,0
aminta,female,,0.03
amir (1),male,arabic,0
amir (2),male,jewish,0
amira,female,arabic,0
amita,female,indian,0
amittai,male,biblical,0
amity,female,english,0
ammiel,male,biblical,0
ammon,male,egyptian mythology (hellenized),0.19
amon,male,egyptian mythology,0.03
amos,male,"biblical, english, jewish",0.10
amparo,female,spanish,0
amrit,both,indian,0
amrita,female,indian,0
amy,female,english,0.06
amyas,male,english,0
amynta,female,,0
an,both,chinese,82.32
ana,female,"spanish, portuguese, slovene, bulgarian, romanian, croatian, serbian",4.62
anacleto,male,"italian, spanish, portuguese",0
anacletus,male,ancient greek (latinized),0
anahid,female,armenian,0
anahita,female,near eastern mythology,0
anaïs,female,"provençal, catalan, french",0.03
anaitis,female,near eastern mythology (hellenized),0
anakin,male,literature,0
anakoni,male,hawaiian,0
anan (1),both,african,0
anan (2),male,biblical,0
anand,male,indian,0
ananda,female,indian,0.03
anani,male,biblical,0
ananias,male,biblical,0
ananta,male,indian,0
ananth,male,indian,0
anantha,male,indian,0
anargyros,male,greek,0.16
anaru,male,maori,0
anas,male,arabic,0.06
anass,male,arabic,0
anastacia,female,english,0
anastas,male,spanish,0
anastasia,female,"russian, greek, ancient greek",0.76
anastasie,female,french,0.22
anastasio,male,italian,0
anastasios,male,"greek, ancient greek",0
anastasius,male,ancient greek (latinized),0
anasztáz,male,hungarian,0
anasztázia,female,hungarian,0
anat,female,near eastern mythology,0.03
anath (1),male,biblical,0
anath (2),female,near eastern mythology,0
anatole,male,french,5.22
anatoli,male,russian,0
anatolius,male,ancient greek (latinized),0
anatoly,male,russian,0
anatu,female,near eastern mythology,0
anaxagoras,male,ancient greek,0
anca,female,romanian,0
anchjo,male,esperanto,0
andela,female,czech,0
ander,male,basque,0
anders,male,scandinavian,0.29
anderson,male,english,1.72
andor,male,norwegian,0
andra,female,english,0
andras,male,welsh,0
andrás,male,hungarian,0
andraste,female,celtic mythology,0
andré,male,"french, portuguese",31.54
andrea (1),male,italian,0
andrea (2),female,"english, german, czech, slovak, hungarian, scandinavian",0
andreas,male,"german, greek, scandinavian, ancient greek",0.25
andrée,female,french,0.80
andreea,female,romanian,0
andrei,male,"russian, bulgarian, romanian",0.16
andreia,female,portuguese,0
andrej,male,"slovene, czech, croatian",0
andreja,female,slovene,0
andrés,male,spanish,0.03
andreu,male,catalan,0.03
andrew,male,"english, biblical",0.57
andriana,female,english,0
andries,male,dutch,0
andrija,male,"croatian, serbian",0
andrina,female,english,0
andris,male,hungarian,0
andriy,male,ukrainian,0
andro,male,croatian,0.03
androcles,male,ancient greek (latinized),0
andromache,female,greek mythology,0
andromeda,female,greek mythology,0
andronikos,male,ancient greek,0
andrzej,male,polish,0.03
andy,male,english,0.10
ane,female,danish,0.19
aneirin,male,welsh,0
anelie,female,german,0
anemone,female,english,0
aneurin,male,welsh,0
anfisa,female,russian,0
angel,both,english,6.63
angela,female,"english, italian, german, romanian, slovene",0.32
ángela,female,spanish,0
angèle,female,french,0.80
angelia,female,english,0
angelica,female,"english, italian, romanian",0.38
angelika,female,german,0
angelina,female,"english, italian",0.06
angeline,female,french,0.03
angelique,female,french,0.03
angelita,female,spanish,0
angelle,female,english,0
angelo,male,italian,3.57
angelos,male,greek,0.10
angerona,female,roman mythology,0
angharad,female,welsh,0
angie,female,english,0.06
angus,male,"scottish, irish, english",1.05
angyalka,female,hungarian,0
ania,female,"russian, polish",0.03
anibal,male,"spanish, portuguese",0
anica,female,slovene,0
anicetus,male,ancient greek (latinized),0
aniela,female,polish,0.76
anika,female,,0
aniketos,male,"greek, ancient greek",0
anikó,female,hungarian,0
anima (1),female,indian,0
anima (2),female,english,0
aniruddha,male,indian,0
anisa,female,arabic,0
anise,female,english,0
anisim,male,russian,0
anita,female,spanish,8.35
anja,female,scandinavian,0.10
anjali,female,indian,0.03
anjelica,female,english (modern),0
anka,female,polish,0
anke,female,"german, dutch",0
ankur,male,indian,0
ann,female,english,0.38
anna,female,"english, italian, german, dutch, scandinavian, greek, hungarian, polish, russian, czech, bulgarian, icelandic",14.94
annabel,female,english,0.06
annabella,female,"english, italian",0.35
annabelle,female,english,0
annalisa,female,english,0
annas,male,biblical,0
anne,female,"french, english, german, scandinavian",45.59
anneka,female,english,0
anneke,female,dutch,0
anneli,female,finnish,0
annelie,female,"german, scandinavian",0
anneliese,female,german,0.03
annelise,female,danish,0
annemarie,female,"dutch, german",0
annetta,female,"english, italian",0
annette,female,french,1.37
annice,female,english,0
annick,female,breton,0.22
annie,female,english,9.17
anniina,female,finnish,0
annika,female,"dutch, swedish, finnish",0
annikki,female,finnish,0
annis,female,english,0
annmarie,female,english,0
annunciata,female,italian,0
annunziata,female,italian,0.03
annuska,female,hungarian,0
anona,female,english,0
anouk,female,dutch,0.06
anoush,female,armenian,0
anouska,female,russian,0
anraí,male,irish,0
ansel,male,,0.03
anselm,male,english,0
anselma,female,"german, dutch, italian, spanish",0
anselme,male,french,1.08
anselmo,male,"italian, spanish, portuguese",0
ansgar,male,"german, scandinavian",0
anshel,male,jewish,0
anson,male,english,0.03
antal,male,hungarian,0.10
antanas,male,lithuanian,0.03
ante,male,croatian,1.15
antero,male,finnish,0
anthea,female,greek mythology (latinized),0
anthony,male,english,0.80
antigone,female,greek mythology,0.86
antigonus,male,ancient greek (latinized),0
antiope,female,greek mythology,0.10
antipater,male,ancient greek (anglicized),0
antje,female,"german, dutch",0
anto,male,croatian,0.06
antoine,male,french,46.70
antoinette,female,french,9.37
anton,male,"german, russian, scandinavian, bulgarian, slovene, romanian",5.16
antonella,female,italian,0.03
antonello,male,italian,0.03
antonette,female,english,0
antoni,male,"polish, catalan",0.10
antonia,female,"english, italian, spanish, portuguese, german, scandinavian, dutch, ancient roman",0.10
antonie,female,czech,0
antonietta,female,"spanish, italian",0
antonija,female,"croatian, slovene",0
antonina,female,"polish, russian",0
antonino,male,italian,0
antonio,male,"spanish, italian, portuguese",1.69
antonius,male,"ancient roman, dutch",0.03
antono,male,esperanto,0
antony,male,english,0.51
antti,male,finnish,0
antun,male,croatian,0
antwan,male,english (modern),0
anubis,male,egyptian mythology (hellenized),0.10
anunciación,female,spanish,0
anupam,male,indian,0
anushka,female,russian,0
anwar,male,arabic,0.03
anwen,female,welsh,0
anwer,male,arabic,0
anya,female,russian,0
aodh,male,"irish, scottish",0
aodhán,male,"irish, scottish",0
aoibheann,female,irish,0
aoibhín,female,irish,0
aoide,female,greek mythology,0
aoife,female,"irish, irish mythology",0
aonghas,male,"scottish, irish",0
aonghus,male,"scottish, irish, irish mythology",0
aphra,female,,0
aphrodisia,female,ancient greek,0
aphrodisios,male,ancient greek,0
aphrodite,female,greek mythology,0.80
apikalia,female,hawaiian,0
apolinar,male,spanish,0
apollinaire,male,french,4.14
apollinaris,male,ancient greek,0
apollinariya,female,russian,0
apolline,female,french,0.22
apollo,male,greek mythology (latinized),0.16
apollodoros,male,ancient greek,0
apollonia,female,ancient greek,0.03
apollonios,male,ancient greek,0
apolonija,female,slovene,0
apostolis,male,greek,0
apostolos,male,greek,0
apphia,female,biblical,0
appius,male,ancient roman,0.06
april,female,english,0
aquila,male,"biblical, ancient roman",0.29
arabella,female,"english, italian",0.06
araceli,female,spanish,0
aracelis,female,,0
aracely,female,,0
arachne,female,greek mythology,0
aragorn,male,literature,0
araminta,female,,0
aran,female,,0.03
aranka,female,hungarian,0
aranrhod,female,"welsh, welsh mythology",0
arantxa,female,basque,0
aras,male,lithuanian,0.06
arata,male,japanese,0
aravinda,male,indian,0
arcadia,female,late roman,0.03
arcangelo,male,italian,0
arcelia,female,spanish,0
archelaus,male,"ancient greek (latinized), biblical",0
archibald,male,"scottish, english",6.72
archie,male,"scottish, english",0.54
archimedes,male,ancient greek,0
archippos,male,ancient greek,0
ardal,male,irish,0
ardashir,male,iranian,0
arden,male,english,0.19
ardghal,male,irish,0
arduino,male,italian,0
areli,male,biblical,0
ares,male,greek mythology,1.56
aretha,female,english,0.03
arethusa,female,greek mythology,0
arevig,female,armenian,0
argus,male,greek mythology (latinized),0.61
argyris,male,greek,0
argyros,male,ancient greek,0
ari (1),male,jewish,0
ari (2),male,ancient scandinavian,0
aria,female,english,0.45
ariadne,female,"greek mythology, english",0.06
ariana,female,english,0.06
ariane,female,"english, french",2.45
arianna,female,italian,0
arianne,female,french,0
arianrhod,female,"welsh, welsh mythology",0
aric,male,english,0
ariel,both,"biblical, jewish",0.61
ariella,female,english,0
arielle,female,english,0.03
arienne,female,french,0
aries,male,roman mythology,0
arik,male,,0
arina,female,russian,0
arisha,female,russian,0
arista,female,astronomy,0
aristide,male,french,0.80
aristides,male,ancient greek,0
aristocles,male,ancient greek (latinized),0
aristodemos,male,"ancient greek, greek mythology",0
aristomache,female,ancient greek,0
ariston,male,ancient greek,0.13
aristophanes,male,ancient greek,0
aristotle,male,ancient greek (latinized),0
arisu,female,japanese,0
arisztid,male,hungarian,0
arjan,male,dutch,0
arjun,male,indian,0
arjuna,male,indian,0.03
arkadi,male,russian,0.03
arkadios,male,ancient greek,0
arkady,male,russian,0
arkell,male,english,0
arleen,female,english,0
arlen,male,,0.03
arlene,female,english,0
arlette,female,"french, english",0.80
arlie,both,english,0
arline,female,english,0
armand,male,french,30.71
armando,male,"spanish, italian, portuguese",0
armel,male,french,0.03
armelle,female,french,0
armin,male,german,0.06
armo,male,finnish,0
arn,male,english,4.78
arnaldo,male,italian,0
arnau,male,catalan,0
arnaud,male,french,9.24
arnaude,female,french,0.67
arndt,male,german,0.03
arne (1),male,scandinavian,0
arne (2),male,german,0
arnie,male,english,0
arnold,male,"english, german",1.24
aroha,female,maori,0
aroldo,male,italian,0
aron,male,polish,0.96
áron,male,hungarian,0
árpád,male,hungarian,0
arrigo,male,italian,0.10
arron,male,english,0
arsen,male,armenian,0.03
arseni,male,russian,0
arsenios,male,ancient greek,0.03
art,male,english,176.78
artair,male,scottish,0
artemidoros,male,ancient greek,0
artemis,female,greek mythology,0
artemisia,female,ancient greek,0.13
artemisios,male,ancient greek,0
arthur,male,"english, welsh mythology",17.78
arttu,male,finnish,0
artturi,male,finnish,0
artur,male,"german, portuguese",0.10
artúr,male,hungarian,0
arturo,male,"italian, spanish",0.06
arundhati,female,"indian, hindu mythology",0
arvel,male,welsh,0
arvid,male,scandinavian,0
arvo,male,finnish,0
arwen,female,literature,0
aryana,female,,0
arzu,female,turkish,0
as'ad,male,arabic,0
asa,male,"biblical, jewish",0.13
åsa,female,scandinavian,0
asad,male,arabic,0
asaf,male,biblical (variant),0
asaph,male,biblical,0.03
asbjörn,male,norwegian,0
ásdís,female,"icelandic, ancient scandinavian",0
asdrubal,male,spanish,0.03
aseem,male,indian,0
asenath,female,biblical,0
ash,both,english,0.13
asha,female,indian,0
ashanti,female,,0.13
asher,male,"biblical, jewish",0.03
asherah,female,near eastern mythology,0
ashlee,female,english (modern),0
ashleigh,female,english (modern),0
ashley,both,english,0.06
ashlie,female,english (modern),0
ashling,female,irish,0
ashlyn,female,english,0
ashlynn,female,english (modern),0
ashok,male,indian,0
ashoka,male,indian,0
ashtad,male,,0
ashton,both,english,0.06
ashtoreth,female,"biblical, near eastern mythology",0
asia,both,english,0
asim,male,arabic,0
asklepiades,male,ancient greek,0
asklepios,male,greek mythology,0
aslaug,female,"norwegian, danish",0
asli,female,turkish,0
aslög,female,swedish,0
asløg,female,danish,0
asma,female,arabic,0
aspasia,female,greek mythology,0
aspen,female,english,0
assumpció,female,catalan,0
assumpta,female,irish,0
assunta,female,italian,0
asta,female,scandinavian,0.45
astaroth,female,near eastern mythology,0.10
astarte,female,near eastern mythology (hellenized),0
astor,male,english,0.92
astra,female,english,0.25
astraea,female,greek mythology (latinized),0
astrid,female,scandinavian,0.19
astrithr,female,ancient scandinavian,0
astrophel,male,literature,0
asunción,female,spanish,0
asya,female,russian,0
ata,male,turkish,0
atalanta,female,greek mythology,6.05
atallah,male,arabic,0.76
atara,female,jewish,0
atarah,female,biblical,0
ataullah,male,arabic,0
atefeh,female,iranian,0
athanas,male,ancient greek,0
athanasia,female,"greek, ancient greek (latinized)",0
athanasios,male,"greek, ancient greek",0
athanasius,male,ancient greek (latinized),0
athelstan,male,,0.03
athena,female,greek mythology,0
athenias,female,ancient greek,0
atieno,female,african,0
atilio,male,spanish,0
atílio,male,portuguese,0
atiya,female,arabic,0
atlas,male,greek mythology,4.21
atticus,male,,0.38
attila,male,"history, hungarian",1.40
attilio,male,italian,0.03
auberon,male,english,0
aubree,female,english,0
aubrey,both,english,0.06
aude,female,french,6.31
audie,female,english,0
audley,male,english,0
audra (1),female,lithuanian,0
audra (2),female,english,0
audrea,female,english,0
audrey,female,english,0.16
august (1),male,"german, polish",0
august (2),male,english,0
augusta,female,"english, italian, polish",0.22
auguste,male,french,20.36
augustijn,male,dutch,0
augustin,male,french,5.86
augustine,male,english,2.52
augusto,male,"spanish, italian, portuguese",2.55
augusts,male,latvian,0
augustus,male,ancient roman,5.99
aukusti,male,finnish,0
aulay,male,scottish,0
aulus,male,ancient roman,0.03
aune,female,finnish,0.64
aura,female,english,110.10
aurangzeb,male,indian,0
aurel,male,"german, romanian",0.10
aurèle,male,french,0.80
aurelia,female,"ancient roman, italian, romanian",0
aureliano,male,spanish,3.35
aurélie,female,french,4.91
aurelien,male,french,0
aurelio,male,"italian, spanish, portuguese",0.16
aurelius,male,ancient roman,0
aureole,female,english,0
aurora,female,roman mythology,0.29
aurore,female,french,11.02
ausra,female,lithuanian,0
austen,male,english,0.13
austin,male,english,0.32
austyn,both,english (modern),0
autumn,both,english,0.03
ava (1),female,english,0
ava (2),female,iranian,0
avalon,female,english,0.03
avdotya,female,russian,0
avedis,male,armenian,0
